similarity,sentence1,sentence2
0,tại nơi đường giao nhau khi người điểu khiển giao thông ra hiệu lệnh bằng tay phải giơ về phía trước để báo hiệu thì người tham giao giao thông phải đi như thế nào,khi nào cảnh sát giao thông phải can thiệp vào hướng di chuyển của xe cộ
0,tại nơi đường giao nhau khi người điểu khiển giao thông ra hiệu lệnh bằng tay phải giơ về phía trước để báo hiệu thì người tham giao giao thông phải đi như thế nào,giao thông bị hỗn loạn thì phải làm gì để giải quyết 
1,trên đường giao thông khi hiệu lệnh của người điều khiển giao thông trái với hiệu lệnh của đèn giao thông hoặc biển báo hiệu thì người tham gia giao thông phải chấp hành theo hiệu lệnh nào,hãy cho biết trên đường giao thông khi hiệu lệnh của người điều khiển giao thông trái với hiệu lệnh của đèn giao thông hoặc biển báo hiệu thì người tham gia giao thông phải chấp hành theo hiệu lệnh nào
1,trên đường giao thông khi hiệu lệnh của người điều khiển giao thông trái với hiệu lệnh của đèn giao thông hoặc biển báo hiệu thì người tham gia giao thông phải chấp hành theo hiệu lệnh nào,trên đường giao thông khi hiệu lệnh của người điều khiển giao thông trái với hiệu lệnh của đèn giao thông hoặc biển báo hiệu thì người tham gia giao thông có được làm theo hiệu lệnh của người đó không 
0,trên đường giao thông khi hiệu lệnh của người điều khiển giao thông trái với hiệu lệnh của đèn giao thông hoặc biển báo hiệu thì người tham gia giao thông phải chấp hành theo hiệu lệnh nào,Có được phép phóng nhanh khi đường vắng không 
0,trên đường giao thông khi hiệu lệnh của người điều khiển giao thông trái với hiệu lệnh của đèn giao thông hoặc biển báo hiệu thì người tham gia giao thông phải chấp hành theo hiệu lệnh nào,Lái xe với tốc độ cao trên đoạn đường vắng thì bị phạt bao nhiêu 
1,tại nơi có biển hiệu cố định lại có báo hiệu tạm thời thì người tham gia giao thông phải chấp hành hiệu lệnh của biển báo nào,hãy cho biết tại nơi có biển hiệu cố định lại có báo hiệu tạm thời thì người tham gia giao thông phải chấp hành hiệu lệnh của biển báo nào
1,tại nơi có biển hiệu cố định lại có báo hiệu tạm thời thì người tham gia giao thông phải chấp hành hiệu lệnh của biển báo nào,tại nơi có biển hiệu cố định lại có báo hiệu tạm thời thì người tham gia giao thông có được chấp hành hiệu lệnh của cả 2 loại biển báo không 
0,tại nơi có biển hiệu cố định lại có báo hiệu tạm thời thì người tham gia giao thông phải chấp hành hiệu lệnh của biển báo nào,vận chuyển hàng nhập lậu thì bị phạt bao nhiêu 
0,tại nơi có biển hiệu cố định lại có báo hiệu tạm thời thì người tham gia giao thông phải chấp hành hiệu lệnh của biển báo nào,sản xuất hàng giả thì bị xử lí như nào 
1,trên đường có nhiều làn đường cho xe đi cùng chiều được phân biệt bằng vạch kẻ phân làn đường người điều khiển phương tiện phải cho xe đi như thế nào,hãy cho biết trên đường có nhiều làn đường cho xe đi cùng chiều được phân biệt bằng vạch kẻ phân làn đường người điều khiển phương tiện phải cho xe đi như thế nào
1,trên đường có nhiều làn đường cho xe đi cùng chiều được phân biệt bằng vạch kẻ phân làn đường người điều khiển phương tiện phải cho xe đi như thế nào,trên đường có nhiều làn đường cho xe đi cùng chiều được phân biệt bằng vạch kẻ phân làn đường người điều khiển phương tiện phải cho xe đi ở làn đường nào là đúng 
0,trên đường có nhiều làn đường cho xe đi cùng chiều được phân biệt bằng vạch kẻ phân làn đường người điều khiển phương tiện phải cho xe đi như thế nào,xe di chuyển đường dài cần lưu ý điều gì 
0,trên đường có nhiều làn đường cho xe đi cùng chiều được phân biệt bằng vạch kẻ phân làn đường người điều khiển phương tiện phải cho xe đi như thế nào,tại sao không được đứng ở gần đường ray khi tàu sắp đến gần 
1,trên đường một chiều có vạch kẻ phân làn đường xe thô sơ và xe cơ giới phải đi như thế nào là đúng quy tắc giao thông,hãy cho biết trên đường một chiều có vạch kẻ phân làn đường xe thô sơ và xe cơ giới phải đi như thế nào là đúng quy tắc giao thông
1,trên đường một chiều có vạch kẻ phân làn đường xe thô sơ và xe cơ giới phải đi như thế nào là đúng quy tắc giao thông,quy tắc giao thông quy định đi trên đường một chiều có vạch kẻ phân làn đường xe thô sơ và xe cơ giới phải đi như thế nào là đúng
0,trên đường một chiều có vạch kẻ phân làn đường xe thô sơ và xe cơ giới phải đi như thế nào là đúng quy tắc giao thông,đi sai làn đường quy định thì bị xử phạt bao nhiêu 
0,trên đường một chiều có vạch kẻ phân làn đường xe thô sơ và xe cơ giới phải đi như thế nào là đúng quy tắc giao thông,đi lên dải phân cách có phải là sai làn đường không 
1,trên làn đường có nhiều làn đường người điều khiển phương tiện tham gia giao thông sử dụng làn đường như thế nào,hãy cho biết trên làn đường có nhiều làn đường người điều khiển phương tiện tham gia giao thông sử dụng làn đường như thế nào
1,trên làn đường có nhiều làn đường người điều khiển phương tiện tham gia giao thông sử dụng làn đường như thế nào,trên làn đường có nhiều làn đường người điều khiển phương tiện tham gia giao thông đi như thế nào là đúng 
0,trên làn đường có nhiều làn đường người điều khiển phương tiện tham gia giao thông sử dụng làn đường như thế nào,thả tay khi điều khiển phương tiện giao thông có thể gây ra những hậu quả gì 
0,trên làn đường có nhiều làn đường người điều khiển phương tiện tham gia giao thông sử dụng làn đường như thế nào,cột mốc để làm gì 
1,khi điều khiển xe chạy trên đoạn đường vòng đầu dốc và các vị trí có tầm nhìn hạn chế người lái xe muốn vượt xe khác thì phải xử lý như thế nào,hãy cho biết khi điều khiển xe chạy trên đoạn đường vòng đầu dốc và các vị trí có tầm nhìn hạn chế người lái xe muốn vượt xe khác thì phải xử lý như thế nào
1,khi điều khiển xe chạy trên đoạn đường vòng đầu dốc và các vị trí có tầm nhìn hạn chế người lái xe muốn vượt xe khác thì phải xử lý như thế nào,người lái xe muốn vượt xe khác khi điều khiển xe chạy trên đoạn đường vòng đầu dốc và các vị trí có tầm nhìn hạn chế thì phải xử lý như thế nào
0,khi điều khiển xe chạy trên đoạn đường vòng đầu dốc và các vị trí có tầm nhìn hạn chế người lái xe muốn vượt xe khác thì phải xử lý như thế nào,công trường đang thi công trên lòng đường cần lưu ý những gì 
0,khi điều khiển xe chạy trên đoạn đường vòng đầu dốc và các vị trí có tầm nhìn hạn chế người lái xe muốn vượt xe khác thì phải xử lý như thế nào,lái xe không tuân thủ các quy định về an toàn giao thông thì bị phạt bao nhiêu 
1,khi vượt xe khác người lái xe phải thực hiện như thế nào,hãy cho biết khi vượt xe khác người lái xe phải thực hiện như thế nào
1,khi vượt xe khác người lái xe phải thực hiện như thế nào,khi muốn vượt xe khác người lái xe phải thực hiện những tín hiệu gì để báo hiệu 
0,khi vượt xe khác người lái xe phải thực hiện như thế nào,xảy ra tai nạn giao thông ở khu vực đang thi công là do đâu
0,khi vượt xe khác người lái xe phải thực hiện như thế nào,tại sao phải ra tín hiệu chỉ dẫn lối đi cho người tham gia giao thông 
1,khi điều khiển xe chạy trên đường biết có xe sau xin vượt nếu đủ điề kiện an toàn người lái xe phải làm gì,hãy cho biết khi điều khiển xe chạy trên đường biết có xe sau xin vượt nếu đủ điề kiện an toàn người lái xe phải làm gì
1,khi điều khiển xe chạy trên đường biết có xe sau xin vượt nếu đủ điề kiện an toàn người lái xe phải làm gì,khi điều khiển xe chạy trên đường biết có xe sau xin vượt nếu đủ điều kiện an toàn người lái xe phải thực hiện những tín hiệu gì
0,khi điều khiển xe chạy trên đường biết có xe sau xin vượt nếu đủ điề kiện an toàn người lái xe phải làm gì,tại sao phải đặt đèn giao thông tại các nhã tư 
0,khi điều khiển xe chạy trên đường biết có xe sau xin vượt nếu đủ điề kiện an toàn người lái xe phải làm gì,rải đinh ra đường có vi phạm pháp luật không 
1,xe sau có thể vượt lên bên phải xe khác đang chạy phía trước trong trường hợp nào,khi nào xe sau có thể vượt lên bên phải xe khác đang chạy phía trước
1,xe sau có thể vượt lên bên phải xe khác đang chạy phía trước trong trường hợp nào,hãy cho biết xe sau có thể vượt lên bên phải xe khác đang chạy phía trước trong trường hợp nào
0,xe sau có thể vượt lên bên phải xe khác đang chạy phía trước trong trường hợp nào,trường hợp nào người gây tai nạn không bị truy tố hình sự 
0,xe sau có thể vượt lên bên phải xe khác đang chạy phía trước trong trường hợp nào,cần phải có điều kiện gì thì được di chuyển trên đường cao tốc 
1,trong khu dân cư nơi nào cho phép người lái xe người điều khiển xe máy chuyên dùng được quay đầu xe,hãy cho biết trong khu dân cư nơi nào cho phép người lái xe người điều khiển xe máy chuyên dùng được quay đầu xe
1,trong khu dân cư nơi nào cho phép người lái xe người điều khiển xe máy chuyên dùng được quay đầu xe,trong khu dân cư người lái xe người điều khiển xe máy chuyên dùng được quay đầu xe tại khu vực nào 
0,trong khu dân cư nơi nào cho phép người lái xe người điều khiển xe máy chuyên dùng được quay đầu xe,xe bị chết máy trên đoạn đường dốc thì phải làm sao 
0,trong khu dân cư nơi nào cho phép người lái xe người điều khiển xe máy chuyên dùng được quay đầu xe,cơ quan trợ giúp giao thông để làm gì 
1,người lái xe phải làm gì khi quay đầu xe trên cầu gầm cầu vượt đường ngầm hay khu vực đường bộ giao nhau cùng mức với đường sắt,hãy cho biết người lái xe phải làm gì khi quay đầu xe trên cầu gầm cầu vượt đường ngầm hay khu vực đường bộ giao nhau cùng mức với đường sắt
1,người lái xe phải làm gì khi quay đầu xe trên cầu gầm cầu vượt đường ngầm hay khu vực đường bộ giao nhau cùng mức với đường sắt,người lái xe khi quay đầu xe trên cầu gầm cầu vượt đường ngầm hay khu vực đường bộ giao nhau cùng mức với đường sắt thì phải làm gì 
0,người lái xe phải làm gì khi quay đầu xe trên cầu gầm cầu vượt đường ngầm hay khu vực đường bộ giao nhau cùng mức với đường sắt,vượt xe như thế nào để giữ an toàn 
0,người lái xe phải làm gì khi quay đầu xe trên cầu gầm cầu vượt đường ngầm hay khu vực đường bộ giao nhau cùng mức với đường sắt,tại sao phải xi nhan để xin đường 
1,khi muốn chuyển hướng người lái xe phải thực hiện như thế nào,hãy cho biết khi muốn chuyển hướng người lái xe phải thực hiện như thế nào
1,khi muốn chuyển hướng người lái xe phải thực hiện như thế nào,khi muốn chuyển hướng người lái xe phải làm gì
0,khi muốn chuyển hướng người lái xe phải thực hiện như thế nào,trạm chờ xe buýt quy định thời gian như thế nào
0,khi muốn chuyển hướng người lái xe phải thực hiện như thế nào,xe như thế nào là đạt tiêu chuẩn tham gia giao thông an toàn 
1,khi lùi người lái xe phải làm gì để đảm bảo an toàn,hãy cho biết khi lùi người lái xe phải làm gì để đảm bảo an toàn
1,khi lùi người lái xe phải làm gì để đảm bảo an toàn,khi lùi người lái xe phải đảm bảo an toàn như thế nào 
0,khi lùi người lái xe phải làm gì để đảm bảo an toàn,đường trơn thì phải làm thế nào 
0,khi lùi người lái xe phải làm gì để đảm bảo an toàn,đường quá trơn có gây tai nạn không 
1,khi tránh xe đi ngược chiều các xe phải nhường đường như thế nào là đúng,hãy cho biết khi tránh xe đi ngược chiều các xe phải nhường đường như thế nào là đúng
1,khi tránh xe đi ngược chiều các xe phải nhường đường như thế nào là đúng,khi tránh xe đi ngược chiều các xe phải làm gì nhường đường đúng
0,khi tránh xe đi ngược chiều các xe phải nhường đường như thế nào là đúng,đi xe đạp xin đường như thế nào 
0,khi tránh xe đi ngược chiều các xe phải nhường đường như thế nào là đúng,cái gì làm đường trơn
1,ban đêm xe cơ giới đi ngược chiều gặp nhau đèn chiếu sáng phải được sử dụng như thế nào,hãy cho biết ban đêm xe cơ giới đi ngược chiều gặp nhau đèn chiếu sáng phải được sử dụng như thế nào
1,ban đêm xe cơ giới đi ngược chiều gặp nhau đèn chiếu sáng phải được sử dụng như thế nào,ban đêm xe cơ giới đi ngược chiều gặp nhau người lái xe phải sử dụng đèn chiếu sáng như thế nào 
0,ban đêm xe cơ giới đi ngược chiều gặp nhau đèn chiếu sáng phải được sử dụng như thế nào,xe cấp cứu có được phép chạy quá tốc độ không 
0,ban đêm xe cơ giới đi ngược chiều gặp nhau đèn chiếu sáng phải được sử dụng như thế nào,quy định về việc đua xe có nội dung như thế nào 
1,trên đường không phân chia thành hai chiều xe chạy riêng biệt hai xe đi ngược chiều tránh nhau như thế nào,hãy cho biết trên đường không phân chia thành hai chiều xe chạy riêng biệt hai xe đi ngược chiều tránh nhau như thế nào
1,trên đường không phân chia thành hai chiều xe chạy riêng biệt hai xe đi ngược chiều tránh nhau như thế nào,trên đường không phân chia thành hai chiều xe chạy riêng biệt hai xe đi ngược chiều tránh nhau bằng cách nào để không gây tai nạn 
0,trên đường không phân chia thành hai chiều xe chạy riêng biệt hai xe đi ngược chiều tránh nhau như thế nào,có được vượt xe bên phải không 
0,trên đường không phân chia thành hai chiều xe chạy riêng biệt hai xe đi ngược chiều tránh nhau như thế nào,vượt xe bên phải hay trái là đúng 
1,bên trái đường một chiều người lái xe có được dừng đỗ xe hay không,hãy cho biết bên trái đường một chiều người lái xe có được dừng đỗ xe hay không
1,bên trái đường một chiều người lái xe có được dừng đỗ xe hay không,bên trái đường một chiều người lái xe dừng đỗ xe là đúng hay sai 
0,bên trái đường một chiều người lái xe có được dừng đỗ xe hay không,trang phục của cảnh sát giao thông như thế nào 
0,bên trái đường một chiều người lái xe có được dừng đỗ xe hay không,cảnh sát giao thông có được mặc thường phục khi đang làm nhiệm vụ không 
1,người lái xe được dừng xe đỗ xe trong những trường hợp nào,hãy cho biết người lái xe được dừng xe đỗ xe trong những trường hợp nào
1,người lái xe được dừng xe đỗ xe trong những trường hợp nào,khi nào người lái xe được dừng xe đỗ xe 
0,người lái xe được dừng xe đỗ xe trong những trường hợp nào,có phải mọi lề đường đều được phép đỗ xe không 
0,người lái xe được dừng xe đỗ xe trong những trường hợp nào,trong trường hợp nào cảnh sát giao thông được phép mặc thường phục khi đang làm nhiệm vụ 
1,người điều khiển phương tiện khi muốn dừng hoặc đỗ xe trên đường bộ phải thực hiện như thế nào,hãy cho biết người điều khiển phương tiện khi muốn dừng hoặc đỗ xe trên đường bộ phải thực hiện như thế nào
1,người điều khiển phương tiện khi muốn dừng hoặc đỗ xe trên đường bộ phải thực hiện như thế nào,người điều khiển phương tiện khi muốn dừng hoặc đỗ xe trên đường bộ phải thực hiện những quy tắc gì
0,người điều khiển phương tiện khi muốn dừng hoặc đỗ xe trên đường bộ phải thực hiện như thế nào,vận chuyển người vượt biên trái phép thì bị xử phạt như thế nào 
0,người điều khiển phương tiện khi muốn dừng hoặc đỗ xe trên đường bộ phải thực hiện như thế nào,che giấu người vượt biên trái phép thì bị phạt bao nhiêu 
1,khi dừng xe đỗ xe tại nơi được phép trên đường phố người điều khiển phương tiện phải tuân theo những quy định nào,hãy cho biết khi dừng xe đỗ xe tại nơi được phép trên đường phố người điều khiển phương tiện phải tuân theo những quy định nào
1,khi dừng xe đỗ xe tại nơi được phép trên đường phố người điều khiển phương tiện phải tuân theo những quy định nào,khi dừng xe đỗ xe tại nơi được phép trên đường phố có những quy định gì dành cho người điều khiển phương tiện 
0,khi dừng xe đỗ xe tại nơi được phép trên đường phố người điều khiển phương tiện phải tuân theo những quy định nào,vừa lái xe vừa nghe điện thoại là đúng hay sai 
0,khi dừng xe đỗ xe tại nơi được phép trên đường phố người điều khiển phương tiện phải tuân theo những quy định nào,sử dụng điện thoại trong lúc đang lái xe có vi phạm luật giao thông đường bộ không 
1,khi xếp hàng hoá phía trước và phía sau của xe ô tô chở hàng tham gia giao thông ban ngày và ban đêm phải có cờ đèn báo hiệu như thế nào là đúng quy tắc giao thông,hãy cho biết khi xếp hàng hoá phía trước và phía sau của xe ô tô chở hàng tham gia giao thông ban ngày và ban đêm phải có cờ đèn báo hiệu như thế nào là đúng quy tắc giao thông
1,khi xếp hàng hoá phía trước và phía sau của xe ô tô chở hàng tham gia giao thông ban ngày và ban đêm phải có cờ đèn báo hiệu như thế nào là đúng quy tắc giao thông,khi xếp hàng hoá phía trước và phía sau của xe ô tô chở hàng tham gia giao thông ban ngày và ban đêm phải có cờ đèn báo hiệu như thế nào là đúng quy tắc giao thông
0,khi xếp hàng hoá phía trước và phía sau của xe ô tô chở hàng tham gia giao thông ban ngày và ban đêm phải có cờ đèn báo hiệu như thế nào là đúng quy tắc giao thông,vừa lái xe vừa đeo tai nghe nhạc có nguy hiểm không 
0,khi xếp hàng hoá phía trước và phía sau của xe ô tô chở hàng tham gia giao thông ban ngày và ban đêm phải có cờ đèn báo hiệu như thế nào là đúng quy tắc giao thông,còi xe quá to gây ảnh hưởng gì đến an toàn giao thông 
1,xe vận tải có thùng cố định bảo đảm an toàn giao thông được phép chở người trong những trường hợp nào,hãy cho biết xe vận tải có thùng cố định bảo đảm an toàn giao thông được phép chở người trong những trường hợp nào
1,xe vận tải có thùng cố định bảo đảm an toàn giao thông được phép chở người trong những trường hợp nào,khi nào xe vận tải có thùng cố định bảo đảm an toàn giao thông được phép chở người
0,xe vận tải có thùng cố định bảo đảm an toàn giao thông được phép chở người trong những trường hợp nào,vận chuyển người trái phép là như thế nào
0,xe vận tải có thùng cố định bảo đảm an toàn giao thông được phép chở người trong những trường hợp nào,xe buýt hoạt động vào những khung giờ nào trong ngày
1,những loại xe nào khi đi làm nhiệm vụ khẩn cấp có tín hiệu còi cờ đèn theo quy định không bị hạn chế tốc độ có thể đi vào đường ngược chiều các đường khác có thể đi được và chỉ phải tuân theo chỉ dẫn của người điều khiển giao thông,hãy cho biết những loại xe nào khi đi làm nhiệm vụ khẩn cấp có tín hiệu còi cờ đèn theo quy định không bị hạn chế tốc độ có thể đi vào đường ngược chiều các đường khác có thể đi được và chỉ phải tuân theo chỉ dẫn của người điều khiển giao thông
1,những loại xe nào khi đi làm nhiệm vụ khẩn cấp có tín hiệu còi cờ đèn theo quy định không bị hạn chế tốc độ có thể đi vào đường ngược chiều các đường khác có thể đi được và chỉ phải tuân theo chỉ dẫn của người điều khiển giao thông,những loại xe khi đi làm nhiệm vụ khẩn cấp có tín hiệu còi cờ đèn theo quy định không bị hạn chế tốc độ có thể đi vào đường ngược chiều các đường khác có thể đi được và chỉ phải tuân theo chỉ dẫn của người điều khiển giao thông là những loại nào
0,những loại xe nào khi đi làm nhiệm vụ khẩn cấp có tín hiệu còi cờ đèn theo quy định không bị hạn chế tốc độ có thể đi vào đường ngược chiều các đường khác có thể đi được và chỉ phải tuân theo chỉ dẫn của người điều khiển giao thông,tại sao xe mang biển số màu xanh và đỏ được phép vượt đèn đỏ 
0,những loại xe nào khi đi làm nhiệm vụ khẩn cấp có tín hiệu còi cờ đèn theo quy định không bị hạn chế tốc độ có thể đi vào đường ngược chiều các đường khác có thể đi được và chỉ phải tuân theo chỉ dẫn của người điều khiển giao thông,tại sao xe mang biển số màu trắng lại không được phép vượt đèn đỏ 
1,khi có tín hiệu của xe ưu tiên người tham gia giao phải làm gì,hãy trình bày khi có tín hiệu của xe ưu tiên người tham gia giao phải làm gì
1,khi có tín hiệu của xe ưu tiên người tham gia giao phải làm gì,khi có tín hiệu của xe ưu tiên hành động nào người tham gia giao thông phải làm
0,khi có tín hiệu của xe ưu tiên người tham gia giao phải làm gì,ngồi trên xe buýt cần lưu ý những gì 
0,khi có tín hiệu của xe ưu tiên người tham gia giao phải làm gì,quy định số lượng người ngồi trên xe buýt như thế nào 
1,thứ tự xe được ưu tiên đi trước khi qua đường giao nhau,hãy cho biết thứ tự xe được ưu tiên đi trước khi qua đường giao nhau như thế nào 
1,thứ tự xe được ưu tiên đi trước khi qua đường giao nhau,thứ tự xe được ưu tiên đi trước khi qua đường giao nhau được quy định như thế nào 
0,thứ tự xe được ưu tiên đi trước khi qua đường giao nhau,tại sao phải phạt nặng những hành vi cản trở giao thông 
0,thứ tự xe được ưu tiên đi trước khi qua đường giao nhau,tội chống đối người thi hành công vụ là nặng hay nhẹ 
1,khi qua nhà qua cầu phao người lái xe phải làm gì để bảo đảm an toàn,hãy cho biết khi qua nhà qua cầu phao người lái xe phải làm gì để bảo đảm an toàn
1,khi qua nhà qua cầu phao người lái xe phải làm gì để bảo đảm an toàn,khi qua nhà qua cầu phao người lái xe cần lưu ý những điều gì để bảo đảm an toàn
0,khi qua nhà qua cầu phao người lái xe phải làm gì để bảo đảm an toàn,trọng tải xe vận chuyển được quy định như thế nào 
0,khi qua nhà qua cầu phao người lái xe phải làm gì để bảo đảm an toàn,xe chở quá khối lượng hàng hoá cho phép sẽ gây ra những hậu quả gì 
1,tại nơi đường giao nhau có báo hiệu đi theo vòng xuyến người điều khiển phương tiện phải nhường đường như thế nào,hãy cho biết tại nơi đường giao nhau có báo hiệu đi theo vòng xuyến người điều khiển phương tiện phải nhường đường như thế nào
1,tại nơi đường giao nhau có báo hiệu đi theo vòng xuyến người điều khiển phương tiện phải nhường đường như thế nào,tại nơi đường giao nhau có báo hiệu đi theo vòng xuyến khi nào người điều khiển phương tiện phải nhường đường 
0,tại nơi đường giao nhau có báo hiệu đi theo vòng xuyến người điều khiển phương tiện phải nhường đường như thế nào,khi lái xe xuống dốc cần lưu ý những gì 
0,tại nơi đường giao nhau có báo hiệu đi theo vòng xuyến người điều khiển phương tiện phải nhường đường như thế nào,quy định đường một chiều như thế nào 
1,tại nơi đường giao nhau người lái xe đang đi trên đường không ưu tiên phải nhường đường như thế nào,hãy cho biết tại nơi đường giao nhau người lái xe đang đi trên đường không ưu tiên phải nhường đường như thế nào
1,tại nơi đường giao nhau người lái xe đang đi trên đường không ưu tiên phải nhường đường như thế nào,tại nơi đường giao nhau khi nào người lái xe đang đi trên đường không ưu tiên phải nhường đường 
0,tại nơi đường giao nhau người lái xe đang đi trên đường không ưu tiên phải nhường đường như thế nào,cần làm gì để giải quyết vấn đề tắc nghẽn giao thông 
0,tại nơi đường giao nhau người lái xe đang đi trên đường không ưu tiên phải nhường đường như thế nào,ổ gà trên mặt đường là do đâu
1,tại nơi đường giao nhau không có báo hiệu đi theo vòng xuyến người điều khiển phương tiện phải nhường đường như thế nào là đúng quy tắc giao thông,hãy cho biết tại nơi đường giao nhau không có báo hiệu đi theo vòng xuyến người điều khiển phương tiện phải nhường đường như thế nào là đúng quy tắc giao thông
1,tại nơi đường giao nhau không có báo hiệu đi theo vòng xuyến người điều khiển phương tiện phải nhường đường như thế nào là đúng quy tắc giao thông,tại nơi đường giao nhau không có báo hiệu đi theo vòng xuyến việc nhường đường được người điều khiển phương tiện thực hiện như thế nào là đúng quy tắc giao thông
0,tại nơi đường giao nhau không có báo hiệu đi theo vòng xuyến người điều khiển phương tiện phải nhường đường như thế nào là đúng quy tắc giao thông,ô tô phóng quá nhanh trên đường gây ra những hậu quả gì 
0,tại nơi đường giao nhau không có báo hiệu đi theo vòng xuyến người điều khiển phương tiện phải nhường đường như thế nào là đúng quy tắc giao thông,biển số xe thuộc các khu vực khác nhau thì có thể giống nhau không 
1,trên đoạn đường giao nhau cùng mức với đường sắt cầu đường bộ đi chung với đường sắt thì loại phương tiện nào được quyền ưu tiên đi trước,hãy cho biết trên đoạn đường giao nhau cùng mức với đường sắt cầu đường bộ đi chung với đường sắt thì loại phương tiện nào được quyền ưu tiên đi trước
1,trên đoạn đường giao nhau cùng mức với đường sắt cầu đường bộ đi chung với đường sắt thì loại phương tiện nào được quyền ưu tiên đi trước,trên đoạn đường giao nhau cùng mức với đường sắt cầu đường bộ đi chung với đường sắt thì loại phương tiện được quyền ưu tiên đi trước phải thoả mãn những điều kiện gì 
0,trên đoạn đường giao nhau cùng mức với đường sắt cầu đường bộ đi chung với đường sắt thì loại phương tiện nào được quyền ưu tiên đi trước,tại sao biển số xe của các tỉnh phải khác nhau 
0,trên đoạn đường giao nhau cùng mức với đường sắt cầu đường bộ đi chung với đường sắt thì loại phương tiện nào được quyền ưu tiên đi trước,xe máy có được phép đi lên đường ray không 
1,tại nơi đường bộ giao nhau cùng mức với đường sắt chỉ có đèn tín hiệu hoặc chuông báo hiệu khi đèn tín hiệu màu đỏ đã bật sáng hoặc có tiếng chuông báo hiệu người tham gia giao thông phải dừng lại ngay và giữ khoảng cách tối thiểu bao nhiêu mét tính từ ray gần nhất,hãy cho biết tại nơi đường bộ giao nhau cùng mức với đường sắt chỉ có đèn tín hiệu hoặc chuông báo hiệu khi đèn tín hiệu màu đỏ đã bật sáng hoặc có tiếng chuông báo hiệu người tham gia giao thông phải dừng lại ngay và giữ khoảng cách tối thiểu bao nhiêu mét tính từ ray gần nhất
1,tại nơi đường bộ giao nhau cùng mức với đường sắt chỉ có đèn tín hiệu hoặc chuông báo hiệu khi đèn tín hiệu màu đỏ đã bật sáng hoặc có tiếng chuông báo hiệu người tham gia giao thông phải dừng lại ngay và giữ khoảng cách tối thiểu bao nhiêu mét tính từ ray gần nhất,tìm hiểu nội dung vấn đề tại nơi đường bộ giao nhau cùng mức với đường sắt chỉ có đèn tín hiệu hoặc chuông báo hiệu khi đèn tín hiệu màu đỏ đã bật sáng hoặc có tiếng chuông báo hiệu người tham gia giao thông phải dừng lại ngay và giữ khoảng cách tối thiểu bao nhiêu mét tính từ ray gần nhất
0,tại nơi đường bộ giao nhau cùng mức với đường sắt chỉ có đèn tín hiệu hoặc chuông báo hiệu khi đèn tín hiệu màu đỏ đã bật sáng hoặc có tiếng chuông báo hiệu người tham gia giao thông phải dừng lại ngay và giữ khoảng cách tối thiểu bao nhiêu mét tính từ ray gần nhất,có bao nhiêu ga tàu trên cả nước 
0,tại nơi đường bộ giao nhau cùng mức với đường sắt chỉ có đèn tín hiệu hoặc chuông báo hiệu khi đèn tín hiệu màu đỏ đã bật sáng hoặc có tiếng chuông báo hiệu người tham gia giao thông phải dừng lại ngay và giữ khoảng cách tối thiểu bao nhiêu mét tính từ ray gần nhất,cảng hàng không nào của nước ta là cảng hàng không quốc tế 
1,người lái xe phải làm gì khi đều khiển xe vào đường cao tốc,hãy cho biết người lái xe phải làm gì khi đều khiển xe vào đường cao tốc
1,người lái xe phải làm gì khi đều khiển xe vào đường cao tốc,những việc người lái xe phải làm khi đều khiển xe vào đường cao tốc là gì 
0,người lái xe phải làm gì khi đều khiển xe vào đường cao tốc,tại sao không được ném gạch đá xuống đường cao tốc 
0,người lái xe phải làm gì khi đều khiển xe vào đường cao tốc,khi trời mưa to cần lưu ý gì khi lái xe 
1,người lái xe phải làm gì khi điều khiển xe ra khỏi đường cao tốc,hãy cho biết người lái xe phải làm gì khi điều khiển xe ra khỏi đường cao tốc
1,người lái xe phải làm gì khi điều khiển xe ra khỏi đường cao tốc,những việc người lái xe phải làm khi điều khiển xe ra khỏi đường cao tốc là gì 
0,người lái xe phải làm gì khi điều khiển xe ra khỏi đường cao tốc,khi xuống đường cao tốc cần đi theo chỉ dẫn nào
0,người lái xe phải làm gì khi điều khiển xe ra khỏi đường cao tốc,không biết đường xuống từ đường cao tốc thì phải làm thế nào 
1,trên đường cao tốc người lái xe phải dừng xe đỗ xe như thế nào,hãy cho biết trên đường cao tốc người lái xe phải dừng xe đỗ xe như thế nào
1,trên đường cao tốc người lái xe phải dừng xe đỗ xe như thế nào,trên đường cao tốc người lái xe phải dừng xe đỗ xe theo quy định nào
0,trên đường cao tốc người lái xe phải dừng xe đỗ xe như thế nào,cần làm gì để giảm thiểu tai nạn giao thông 
0,trên đường cao tốc người lái xe phải dừng xe đỗ xe như thế nào,đi đến đoạn đường đang thi công cần tuân theo những quy định nào 
1,người đi bộ xe thô sơ xe gắn má xe mô tô và xe máy chuyên dùng có tốc độ thiết kế nhỏ hơn 70km/h có được đi vào đường cao tốc không,hãy cho biết người đi bộ xe thô sơ xe gắn má xe mô tô và xe máy chuyên dùng có tốc độ thiết kế nhỏ hơn 70km/h có được đi vào đường cao tốc không
